Sample;Proportion;Sampletype;Generation;Competid;Population;Env;Cq
A1;1;std;NA;NA;NA;NA;26,6703012
A2;0,9;std;NA;NA;NA;NA;26,49908651
A3;0,8;std;NA;NA;NA;NA;26,08266748
A4;0,7;std;NA;NA;NA;NA;26,03031243
A5;0,6;std;NA;NA;NA;NA;26,08877596
A6;0,5;std;NA;NA;NA;NA;26,29901505
A7;0,4;std;NA;NA;NA;NA;26,22037875
A8;0,3;std;NA;NA;NA;NA;26,15672828
A9;0,2;std;NA;NA;NA;NA;25,51473294
A10;0,1;std;NA;NA;NA;NA;25,75386317
A11;0;std;NA;NA;NA;NA;25,61987003
A12;NA;negcont;NA;NA;NA;NA;34,57182498
B1;1;std;NA;NA;NA;NA;26,27557559
B2;0,9;std;NA;NA;NA;NA;25,90599653
B3;0,8;std;NA;NA;NA;NA;26,19464447
B4;0,7;std;NA;NA;NA;NA;25,8402498
B5;0,6;std;NA;NA;NA;NA;25,74655077
B6;0,5;std;NA;NA;NA;NA;26,08830226
B7;0,4;std;NA;NA;NA;NA;25,98221234
B8;0,3;std;NA;NA;NA;NA;25,71923167
B9;0,2;std;NA;NA;NA;NA;25,86783754
B10;0,1;std;NA;NA;NA;NA;25,58128425
B11;0;std;NA;NA;NA;NA;25,7387854
B12;1;poscont;NA;NA;NA;NA;26,23460426
C1;NA;sample;1;1;1;1,5;26,21123399
C2;NA;sample;1;1;2;1,5;25,40138875
C3;NA;sample;1;1;3;1,5;26,30744027
C4;NA;sample;1;1;4;1,5;26,05338585
C5;NA;sample;1;1;5;1,5;26,41326222
C6;NA;sample;1;2;6;1,5;26,20406182
C7;NA;sample;1;2;7;1,5;26,76882621
C8;NA;sample;1;2;8;1,5;26,57080806
C9;NA;sample;1;2;9;1,5;27,03018595
C10;NA;sample;1;2;10;1,5;26,81047494
C11;NA;sample;1;3;11;1,5;26,44885783
C12;NA;sample;1;3;12;1,5;27,74372852
D1;NA;sample;1;3;13;1,5;26,22013775
D2;NA;sample;1;3;14;1,5;26,12688356
D3;NA;sample;1;3;15;1,5;26,02492261
D4;NA;sample;1;4;16;1,5;24,6837427
D5;NA;sample;1;4;17;1,5;24,98456606
D6;NA;sample;1;4;18;1,5;25,19952287
D7;NA;sample;1;4;19;1,5;25,45289791
D8;NA;sample;1;4;20;1,5;26,19043632
D9;NA;sample;1;5;21;1,5;25,86293704
D10;NA;sample;1;5;22;1,5;25,5312543
D11;NA;sample;1;5;23;1,5;26,5003569
D12;NA;sample;1;5;24;1,5;26,16333128
E1;NA;sample;1;5;25;1,5;26,59603306
E2;NA;sample;1;6;26;1,5;26,32679777
E3;NA;sample;1;6;27;1,5;27,07760516
E4;NA;sample;1;6;28;1,5;26,34472877
E5;NA;sample;1;6;29;1,5;26,30842357
E6;NA;sample;1;6;30;1,5;26,59691826
E7;NA;sample;1;7;31;0,015;28,14924615
E8;NA;sample;1;7;32;0,015;28,40209708
E9;NA;sample;1;7;33;0,015;28,96479047
E10;NA;sample;1;7;34;0,015;28,50016051
E11;NA;sample;1;7;35;0,015;28,78674839
E12;NA;sample;1;8;36;0,015;29,10988759
F1;NA;sample;1;8;37;0,015;28,84035565
F2;NA;sample;1;8;38;0,015;29,26971749
F3;NA;sample;1;8;39;0,015;29,36686726
F4;NA;sample;1;8;40;0,015;28,54273258
F5;NA;sample;1;9;41;0,015;29,3190832
F6;NA;sample;1;9;42;0,015;29,52447699
F7;NA;sample;1;9;43;0,015;29,14248466
F8;NA;sample;1;9;44;0,015;29,83037776
F9;NA;sample;1;9;45;0,015;29,68591707
F10;NA;sample;1;10;46;0,015;29,22846447
F11;NA;sample;1;10;47;0,015;29,07117007
F12;NA;sample;1;10;48;0,015;28,47087624
G1;NA;sample;1;10;49;0,015;29,20576404
G2;NA;sample;1;10;50;0,015;29,02560291
G3;NA;sample;1;11;51;0,015;28,92003083
G4;NA;sample;1;11;52;0,015;28,68250047
G5;NA;sample;1;11;53;0,015;28,1255225
G6;NA;sample;1;11;54;0,015;28,43346105
G7;NA;sample;1;11;55;0,015;27,77718699
G8;NA;sample;1;12;56;0,015;29,50624325
G9;NA;sample;1;12;57;0,015;29,37204506
G10;NA;sample;1;12;58;0,015;29,33532209
G11;NA;sample;1;12;59;0,015;29,85795513
G12;NA;sample;1;12;60;0,015;29,38997672
H1;1;poscont;NA;NA;NA;NA;26,28309332
