sample,raw-reads,blank-corrected,control-reads,amount,treatment
ST_0,0.0465,0.0005,0.0005,0,standard
ST_0,0.0455,-0.0005,-0.0005,0,standard
ST_2,0.2854,0.2394,0.2394,2,standard
ST_2,0.3159,0.2699,0.2699,2,standard
ST_4,0.6142,0.5682,0.5682,4,standard
ST_4,0.6092,0.5632,0.5632,4,standard
ST_6,0.8989,0.8529,0.8529,6,standard
ST_6,0.9016,0.8556,0.8556,6,standard
ST_8,1.1458,1.0998,1.0998,8,standard
ST_8,1.1359,1.0899,1.0899,8,standard
ST_10,1.3979,1.3519,1.3519,10,standard
ST_10,1.3928,1.3468,1.3468,10,standard
T1_1.5%,2.3798,2.3338,2.2628,,1.5%
T1_1.5%,2.3327,2.2867,2.2157,,1.5%
T2_1.5%,2.4363,2.3903,2.3281,,1.5%
T2_1.5%,2.3963,2.3503,2.2881,,1.5%
T3_1.5%,2.2632,2.2172,2.1538,,1.5%
T3_1.5%,2.2437,2.1977,2.1343,,1.5%
T4_1.5%,2.37,2.324,2.2472,,1.5%
T4_1.5%,2.3276,2.2816,2.2048,,1.5%
T5_1.5%,2.5059,2.4599,2.3718,,1.5%
T5_1.5%,2.4581,2.4121,2.324,,1.5%
T6_1.5%,2.0955,2.0495,1.961,,1.5%
T6_1.5%,2.1421,2.0961,2.0076,,1.5%
T7_1.5%,2.4608,2.4148,2.2623,,1.5%
T7_1.5%,2.4412,2.3952,2.2427,,1.5%
T8_1.5%,2.4886,2.4426,2.2019,,1.5%
T8_1.5%,2.5043,2.4583,2.2176,,1.5%
T11_0.015%,1.15,1.104,0.9623,,0.015%
T11_0.015%,1.1451,1.0991,0.9574,,0.015%
T12_0.015%,1.3061,1.2601,1.186,,0.015%
T12_0.015%,1.2225,1.1765,1.1024,,0.015%
T13_0.015%,1.7779,1.7319,1.622,,0.015%
T13_0.015%,1.6891,1.6431,1.5332,,0.015%
T14_0.015%,1.6436,1.5976,1.5124,,0.015%
T14_0.015%,1.4753,1.4293,1.3441,,0.015%
T15_0.015%,1.3601,1.3141,1.2554,,0.015%
T15_0.015%,1.2831,1.2371,1.1784,,0.015%
T16_0.015%,1.4892,1.4432,1.3251,,0.015%
T16_0.015%,0.65,0.604,0.4859,,0.015%
T17_0.015%,1.2881,1.2421,1.1606,,0.015%
T17_0.015%,1.2699,1.2239,1.1424,,0.015%
T18_0.015%,1.4788,1.4328,1.2817,,0.015%
T18_0.015%,1.6199,1.5739,1.4228,,0.015%
T1_control,0.117,0.071,NA,,0.015%
T2_control,0.1082,0.0622,NA,,0.015%
T3_control,0.1094,0.0634,NA,,0.015%
T4_control,0.1228,0.0768,NA,,0.015%
T5_control,0.1341,0.0881,NA,,0.015%
T6_control,0.1345,0.0885,NA,,0.015%
T7_control,0.1985,0.1525,NA,,0.015%
T8_control,0.2867,0.2407,NA,,0.015%
T11_control,0.1877,0.1417,NA,,0.015%
T12_control,0.1201,0.0741,NA,,0.015%
T13_control,0.1559,0.1099,NA,,0.015%
T14_control,0.1312,0.0852,NA,,0.015%
T15_control,0.1047,0.0587,NA,,0.015%
T16_control,0.1641,0.1181,NA,,0.015%
T17_control,0.1275,0.0815,NA,,0.015%
T18_control,0.1971,0.1511,NA,,0.015%
