Sample,Concentration_conidia/ml,date_measured,generation,sucrose,exp
1.5_t1_5ul,117928415.7405,26.11.20,F1,1.5%,exp1
"1,5_t2_5ul",97491322.3005,26.11.20,F1,1.5%,exp1
"1,5_t3_5ul",111147984.219,26.11.20,F1,1.5%,exp1
0.015_t1_50ul,6198265.4415,26.11.20,F1,0.015%,exp1
0.015_t2_50ul,5323643.8905,26.11.20,F1,0.015%,exp1
0.15_t3_50ul,6604568.8515,26.11.20,F1,0.015%,exp1
C1_T1_5ul,29857316.1975,30.11.20,F2,1.5%,exp1
C1_T2_5ul,41065784.631,30.11.20,F2,1.5%,exp1
C1_T3_5ul,72785856.741,30.11.20,F2,1.5%,exp1
C4_T1_5ul,73360649.994,30.11.20,F2,1.5%,exp1
C4_T2_5ul,81950615.8305,30.11.20,F2,1.5%,exp1
C4_T3_5ul,83036336.4195,30.11.20,F2,1.5%,exp1
C2_T1_50ul,2810978.0655,30.11.20,F2,0.015%,exp1
C2_T2_50ul,6585322.9005,30.11.20,F2,0.015%,exp1
C2_T3_50ul,3569054.691,30.11.20,F2,0.015%,exp1
C3_T1_50ul,7980654.348,30.11.20,F2,0.015%,exp1
C3_T2_50ul,7487744.1585,30.11.20,F2,0.015%,exp1
C3_T3_50ul,8472495.318,30.11.20,F2,0.015%,exp1
F0_1.5_T1_5ul,38628235.4655,20.12.20,F1,1.5%,exp2
F0_1.5_T2_5ul,50432785.791,20.12.20,F1,1.5%,exp2
F0_1.5_T3_5ul,56351027.433,20.12.20,F1,1.5%,exp2
F0_0.015_T1_50ul,5162191.746,20.12.20,F1,0.015%,exp2
F0_0.015_T2_50ul,4994324.2845,20.12.20,F1,0.015%,exp2
F0_0.015_T3_50ul,4846771.9935,20.12.20,F1,0.015%,exp2
C1_T1_5ul,38638879.785,23.12.20,F2,1.5%,exp2
C1_T2_5ul,52923556.554,23.12.20,F2,1.5%,exp2
C1_T3_5ul,36275840.856,23.12.20,F2,1.5%,exp2
C2_T1_50ul,3180928.0125,23.12.20,F2,0.015%,exp2
C2_T2_50ul,3428986.9365,23.12.20,F2,0.015%,exp2
C2_T3_50ul,4017057.6615,23.12.20,F2,0.015%,exp2
C3_T1_50ul,4917340.4805,23.12.20,F2,0.015%,exp2
C3_T2_50ul,2952115.0395,23.12.20,F2,0.015%,exp2
C3_T3_50ul,4160333.0745,23.12.20,F2,0.015%,exp2
C4_T1_5ul,61460300.793,23.12.20,F2,1.5%,exp2
C4_T2_5ul,56031697.848,23.12.20,F2,1.5%,exp2
C4_T3_5ul,34892079.321,23.12.20,F2,1.5%,exp2
F1_1.5_T1_5ul,58990818.669,18.01.21,F1,1.5%,exp3
F1_1.5_T2_5ul,60502312.038,18.01.21,F1,1.5%,exp3
F1_1.5_T3_5ul,67729804.9785,18.01.21,F1,1.5%,exp3
F1_0_0.015_T1_50ul,6062474.565,18.01.21,F1,0.015%,exp3
F1_0.015_T2_50ul,5970521.688,18.01.21,F1,0.015%,exp3
F1_0.015_T3_50ul,6183296.3685,18.01.21,F1,0.015%,exp3
F2_1.5_C1_T1_5ul,54988554.537,21.01.21,F2,1.5%,exp3
F2_1.5_C1_T2_5ul,62535377.0625,21.01.21,F2,1.5%,exp3
F2_1.5_C1_T3_5ul,53562215.724,21.01.21,F2,1.5%,exp3
F2_0.015_C2_T1_50ul,4948347.846,21.01.21,F2,0.015%,exp3
F2_0.015_C2_T2_50ul,6059266.9065,21.01.21,F2,0.015%,exp3
F2_0.015_C2_T3_50ul,4096179.9045,21.01.21,F2,0.015%,exp3
F2_0.015_C3_T1_50ul,6135181.491,21.01.21,F2,0.015%,exp3
F2_0.015_C3_T2_50ul,6270972.3675,21.01.21,F2,0.015%,exp3
F2_0.015_C3_T3_50ul,4699219.7025,21.01.21,F2,0.015%,exp3
F2_1.5_C4_T1_5ul,57809299.2045,21.01.21,F2,1.5%,exp3
F2_1.5_C4_T2_5ul,66026713.8585,21.01.21,F2,1.5%,exp3
F2_1.5_C4_T3_5ul,55573992.1095,21.01.21,F2,1.5%,exp3
F1_1.5_T1_5ul,36041665.827,22.02.21,F1,1.5%,exp4
F1_1.5_T2_5ul,41331892.6185,22.02.21,F1,1.5%,exp4
F1_1.5_T3_5ul,53253530.4585,22.02.21,F1,1.5%,exp4
F1_0.015_T1_50ul,4043788.149,22.02.21,F1,0.015%,exp4
F1_0.015_T2_50ul,3097528.8915,22.02.21,F1,0.015%,exp4
F1_0.015_T3_50ul,3007714.4535,22.02.21,F1,0.015%,exp4
F2_1.5_T1_5ul,75872709.396,05.03.21,F2,1.5%,exp5
F2_1.5_T2_5ul,86591539.1325,05.03.21,F2,1.5%,exp5
F2_1.5_T3_5ul,60906796.179,05.03.21,F2,1.5%,exp5
F2_0.015_T1_50ul,8195567.4675,05.03.21,F2,0.015%,exp5
F2_0.015_T2_50ul,6336194.757,05.03.21,F2,0.015%,exp5
F2_0.015_T3_50ul,5500065.108,05.03.21,F2,0.015%,exp5
