well,Sample,Treatment,abs1,abs2,abs3,protein
1,A,standard,1.88,1.896,1.914,2000
2,A,standard,1.95,1.969,1.975,2000
3,B,standard,1.486,1.498,1.51,1500
4,B,standard,1.518,1.532,1.547,1500
5,C,standard,1.116,1.125,1.136,1000
6,C,standard,1.12,1.13,1.142,1000
7,D,standard,0.918,0.927,0.938,750
8,D,standard,0.929,0.937,0.948,750
9,E,standard,0.684,0.692,0.701,500
10,E,standard,0.694,0.699,0.706,500
11,F,standard,0.453,0.459,0.464,250
12,F,standard,0.458,0.465,0.471,250
13,G,standard,0.321,0.327,0.332,125
14,G,standard,0.329,0.336,0.342,125
15,H,standard,0.209,0.216,0.218,25
16,H,standard,0.21,0.216,0.22,25
17,I,standard,0.176,0.182,0.186,0
18,I,standard,0.172,0.178,0.182,0
19,T1,1.5%,0.706,0.716,0.722,
20,T1,1.5%,0.692,0.698,0.705,
21,T1,1.5%,0.701,0.709,0.715,
22,T2,1.5%,0.814,0.823,0.831,
23,T2,1.5%,0.811,0.822,0.833,
24,T2,1.5%,0.811,0.822,0.833,
25,T3,1.5%,0.853,0.866,0.877,
26,T3,1.5%,0.84,0.854,0.865,
27,T3,1.5%,0.811,0.825,0.839,
28,T4,1.5%,0.732,0.747,0.758,
29,T4,1.5%,0.756,0.765,0.775,
30,T4,1.5%,0.749,0.757,0.765,
31,T5,1.5%,0.7,0.707,0.714,
32,T5,1.5%,0.661,0.669,0.676,
33,T5,1.5%,0.68,0.689,0.697,
34,T6,1.5%,0.6,0.607,0.616,
35,T6,1.5%,0.589,0.597,0.605,
36,T6,1.5%,0.608,0.62,0.63,
37,T7,1.5%,0.725,0.735,0.745,
38,T7,1.5%,0.681,0.691,0.7,
39,T7,1.5%,0.741,0.75,0.76,
40,T8,1.5%,0.741,0.748,0.755,
41,T8,1.5%,0.733,0.738,0.746,
42,T8,1.5%,0.747,0.754,0.761,
43,T9,1.5%,0.806,0.816,0.824,
44,T9,1.5%,0.878,0.889,0.898,
45,T9,1.5%,0.872,0.885,0.893,
46,T10,1.5%,0.797,0.802,0.807,
47,T10,1.5%,0.738,0.748,0.757,
48,T10,1.5%,0.735,0.744,0.753,
49,T11,0.015%,0.803,0.812,0.822,
50,T11,0.015%,0.795,0.802,0.811,
51,T11,0.015%,0.808,0.815,0.823,
52,T12,0.015%,0.763,0.771,0.779,
53,T12,0.015%,0.748,0.755,0.764,
54,T12,0.015%,0.674,0.681,0.689,
55,T13,0.015%,0.779,0.788,0.798,
56,T13,0.015%,0.78,0.789,0.798,
57,T13,0.015%,0.79,0.8,0.809,
58,T14,0.015%,0.761,0.77,0.779,
59,T14,0.015%,0.756,0.763,0.771,
60,T14,0.015%,0.754,0.76,0.769,
61,T15,0.015%,0.778,0.785,0.792,
62,T15,0.015%,0.77,0.778,0.786,
63,T15,0.015%,0.78,0.788,0.797,
64,T16,0.015%,0.767,0.775,0.784,
65,T16,0.015%,0.763,0.772,0.781,
66,T16,0.015%,0.771,0.781,0.788,
67,T17,0.015%,0.753,0.763,0.771,
68,T17,0.015%,0.755,0.764,0.772,
69,T17,0.015%,0.782,0.791,0.8,
70,T18,0.015%,0.729,0.736,0.743,
71,T18,0.015%,0.734,0.739,0.746,
72,T18,0.015%,0.735,0.741,0.749,
73,T19,0.015%,0.707,0.714,0.722,
74,T19,0.015%,0.693,0.699,0.707,
75,T19,0.015%,0.686,0.692,0.701,
76,T20,0.015%,0.807,0.814,0.823,
77,T20,0.015%,0.732,0.739,0.748,
78,T20,0.015%,0.699,0.706,0.713,
