Genotype;F1;F2;t1;t2;t3
2489;1.5;1.5;32;45,5;NA
2489;1.5;1.5;28;41,5;NA
2489;1.5;1.5;28,5;41,5;NA
2489;1.5;1.5;27;41;NA
2489;1.5;1.5;30;43;NA
2489;1.5;1.5;27,5;40;NA
2489;1.5;1.5;25;37;48,5
2489;1.5;1.5;31;46;NA
2489;1.5;1.5;29;42,5;NA
2489;1.5;1.5;31;42,5;NA
dim-2;1.5;1.5;24,5;35;48
dim-2;1.5;1.5;28,5;42;NA
dim-2;1.5;1.5;27,5;40,5;NA
dim-2;1.5;1.5;27,5;41;NA
dim-2;1.5;1.5;23;30;47,5
dim-2;1.5;1.5;25;38;NA
dim-2;1.5;1.5;29;42;NA
dim-2;1.5;1.5;26,5;39,5;NA
dim-2;1.5;1.5;23;33,5;45
dim-2;1.5;1.5;28,5;43;NA
qde-2;1.5;1.5;16;26,5;40
qde-2;1.5;1.5;15;25,5;35,5
qde-2;1.5;1.5;14,5;24,5;36
qde-2;1.5;1.5;13,5;24,5;35,5
qde-2;1.5;1.5;17;25,5;34,5
qde-2;1.5;1.5;14,5;24,5;36
qde-2;1.5;1.5;14,5;26;37,5
qde-2;1.5;1.5;15,5;26;37,5
qde-2;1.5;1.5;15;26;37
qde-2;1.5;1.5;12,5;22,5;36
set-7;1.5;1.5;19,5;31,5;39
set-7;1.5;1.5;19,5;32;43,5
set-7;1.5;1.5;20,5;32;44
set-7;1.5;1.5;19;30,5;40
set-7;1.5;1.5;20;33;44
set-7;1.5;1.5;20,5;31,5;43
set-7;1.5;1.5;19;32;43,5
set-7;1.5;1.5;18;29;40,5
set-7;1.5;1.5;16;26,5;39,5
set-7;1.5;1.5;21;27;38,5
2489;1.5;1.5;27;41;NA
2489;1.5;1.5;26,5;39;NA
2489;1.5;1.5;34;47,5;NA
2489;1.5;1.5;28,5;43;NA
2489;1.5;1.5;28,5;41;NA
2489;1.5;1.5;27,5;37,5;NA
2489;1.5;1.5;30;40,5;NA
2489;1.5;1.5;26,5;40,5;NA
2489;1.5;1.5;27;40;NA
2489;1.5;1.5;26,5;39,5;NA
dim-2;1.5;0.015;21,5;33;43
dim-2;1.5;0.015;20,5;31,5;41,5
dim-2;1.5;0.015;24,5;37,5;46
dim-2;1.5;0.015;23,5;35;
dim-2;1.5;0.015;19,5;31,5;42,5
dim-2;1.5;0.015;20,5;30;40,5
dim-2;1.5;0.015;19;31,5;42,5
dim-2;1.5;0.015;21,5;31;39,5
dim-2;1.5;0.015;21;33,5;44,5
dim-2;1.5;0.015;20,5;32,5;43,5
qde-2;1.5;0.015;16;19,5;30,5
qde-2;1.5;0.015;9,5;15,5;21
qde-2;1.5;0.015;10;16,5;22,5
qde-2;1.5;0.015;11;16;23,5
qde-2;1.5;0.015;10,5;15;21,5
qde-2;1.5;0.015;10;15,5;21,5
qde-2;1.5;0.015;10;16,5;23
qde-2;1.5;0.015;10,5;18,5;26
qde-2;1.5;0.015;11,5;17,5;24,5
qde-2;1.5;0.015;11;19;27
set-7;1.5;0.015;16;29;40
set-7;1.5;0.015;15;25;36
set-7;1.5;0.015;16,5;27;38,5
set-7;1.5;0.015;18,5;30,5;42,5
set-7;1.5;0.015;15;24,5;36,5
set-7;1.5;0.015;17;28,5;37
set-7;1.5;0.015;17,5;27,5;37
set-7;1.5;0.015;17;27;36,5
set-7;1.5;0.015;15,5;25,5;35
set-7;1.5;0.015;16,5;24,5;35
2489;0.015;1.5;19;31,5;42,5
2489;0.015;1.5;20,5;30,5;41,5
2489;0.015;1.5;19,5;32;43
2489;0.015;1.5;19;32,5;44
2489;0.015;1.5;18;27,5;38
2489;0.015;1.5;18;30,5;41,5
2489;0.015;1.5;17,5;28;39,5
2489;0.015;1.5;16;25,5;38,5
2489;0.015;1.5;17,5;29,5;41,5
2489;0.015;1.5;20,5;32,5;44,5
dim-2;0.015;1.5;19;29,5;42,5
dim-2;0.015;1.5;16;26,5;35
dim-2;0.015;1.5;17,5;30,5;43,5
dim-2;0.015;1.5;15,5;25,5;36,5
dim-2;0.015;1.5;18;30;42,5
dim-2;0.015;1.5;15;26,5;37
dim-2;0.015;1.5;14;24,5;35
dim-2;0.015;1.5;17;27,5;39,5
dim-2;0.015;1.5;14,5;23;33,5
dim-2;0.015;1.5;16;28;39
qde-2;0.015;1.5;9;17;27,5
qde-2;0.015;1.5;10,5;17;28
qde-2;0.015;1.5;10;18,5;28
qde-2;0.015;1.5;9,5;16,5;26,5
qde-2;0.015;1.5;11;17,5;27,5
qde-2;0.015;1.5;10;17,5;27,5
qde-2;0.015;1.5;9,5;16;25,5
qde-2;0.015;1.5;11,5;17,5;27
qde-2;0.015;1.5;9,5;17;28,5
qde-2;0.015;1.5;11;20,5;31
set-7;0.015;1.5;16;27,5;40
set-7;0.015;1.5;14,5;24,5;35,5
set-7;0.015;1.5;15;25;36
set-7;0.015;1.5;15,5;24,5;35,5
set-7;0.015;1.5;14,5;24;38,5
set-7;0.015;1.5;14;23,5;35
set-7;0.015;1.5;16,5;26,5;38,5
set-7;0.015;1.5;15;25;35
set-7;0.015;1.5;13,5;22,5;34,5
set-7;0.015;1.5;14,5;25,5;36
2489;0.015;0.015;13,5;23;32,5
2489;0.015;0.015;15,5;21,5;38,5
2489;0.015;1.5;21;33;45,5
2489;0.015;1.5;21;35;45,5
2489;0.015;0.015;15;24,5;35,5
2489;0.015;1.5;18,5;29,5;39
2489;0.015;1.5;21,5;32,5;45
2489;0.015;0.015;16;26,5;36,5
2489;0.015;1.5;22;36;46,5
2489;0.015;0.015;13,5;23;32
dim-2;0.015;0.015;11,5;21;29,5
dim-2;0.015;0.015;11,5;19,5;31
dim-2;0.015;0.015;12,5;20,5;32
dim-2;0.015;0.015;12;20,5;30,5
dim-2;0.015;0.015;11;18;28,5
dim-2;0.015;0.015;12,5;18,5;26,5
dim-2;0.015;0.015;10;20,5;29,5
dim-2;0.015;0.015;11,5;21;31,5
dim-2;0.015;0.015;11;20;30,5
dim-2;0.015;0.015;11,5;17,5;27
qde-2;0.015;0.015;9;13;19
qde-2;0.015;0.015;10;14,5;20
qde-2;0.015;0.015;8;12;18
qde-2;0.015;0.015;8;13;19,5
qde-2;0.015;0.015;8;14;17
qde-2;0.015;0.015;7;11,5;19
qde-2;0.015;0.015;8;12,5;17,5
qde-2;0.015;0.015;8,5;13,5;19,5
qde-2;0.015;0.015;8,5;14,5;19
qde-2;0.015;0.015;8,5;13;19
set-7;0.015;0.015;8,5;16,5;23
set-7;0.015;0.015;11;19;29
set-7;0.015;0.015;11,5;20;31,5
set-7;0.015;0.015;8,5;16;25,5
set-7;0.015;0.015;9;17;26,5
set-7;0.015;0.015;10,5;18,5;29
set-7;0.015;0.015;9;15,5;25,5
set-7;0.015;0.015;14,5;24;34
set-7;0.015;0.015;10,5;18;29
set-7;0.015;0.015;13;22,5;32,5
